congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
18,1,1823-12-22,0,36,"Barbour, James",420,6,VA,7777,Crawford Republican,-0.23,-0.281
18,1,1823-12-22,0,36,"Barton, David",495,6,MO,8888,Adams-Clay Republican,0.323,0.38
18,1,1823-12-22,0,36,"Bell, Samuel",611,6,NH,8888,Adams-Clay Republican,0.614,0.046
18,1,1823-12-22,0,36,"Benton, Thomas Hart",658,6,MO,1346,Jackson Republican,-0.294,-0.285
18,1,1823-12-22,0,36,"Branch, John",972,6,NC,7777,Crawford Republican,-0.224,-0.408
18,1,1823-12-22,0,36,"Brown, Ethan Allen",1107,6,OH,8888,Adams-Clay Republican,0.259,0.623
18,1,1823-12-22,0,36,"Chandler, John",1635,6,ME,7777,Crawford Republican,0.194,-0.18
18,1,1823-12-22,0,36,"De Wolf, James",2549,6,RI,7777,Crawford Republican,0.919,0.377
18,1,1823-12-22,0,36,"Dickerson, Mahlon",2561,6,NJ,7777,Crawford Republican,0.12,0.059
18,1,1823-12-22,0,36,"Eaton, John Henry",2828,6,TN,1346,Jackson Republican,-0.428,0.507
18,1,1823-12-22,0,36,"Edwards, Henry Waggaman",2865,6,CT,1346,Jackson Republican,0.571,0.294
18,1,1823-12-22,0,36,"Edwards, Ninian",2871,9,IL,8888,Adams-Clay Republican,-0.026,1
18,1,1823-12-22,0,36,"Elliott, John",2913,9,GA,7777,Crawford Republican,-0.089,-0.4
18,1,1823-12-22,0,36,"Findlay, William",3146,6,PA,1346,Jackson Republican,0.043,0.175
18,1,1823-12-22,0,36,"Gaillard, John",3423,6,SC,7777,Crawford Republican,-0.126,-0.418
18,1,1823-12-22,0,36,"Hayne, Robert Young",4237,6,SC,1346,Jackson Republican,-0.04,-0.571
18,1,1823-12-22,0,36,"Holmes, David",4532,6,MS,1346,Jackson Republican,-0.152,-0.135
18,1,1823-12-22,0,36,"Holmes, John",4536,6,ME,7777,Crawford Republican,0.342,0.059
18,1,1823-12-22,0,36,"Jackson, Andrew",4843,6,TN,1346,Jackson Republican,-0.497,0.868
18,1,1823-12-22,0,36,"Johnson, Henry",4959,6,LA,8888,Adams-Clay Republican,-0.041,0.25
18,1,1823-12-22,0,36,"Johnson, Richard Mentor",4988,9,KY,1346,Jackson Republican,-0.18,0.02
18,1,1823-12-22,0,36,"Kelly, William",5155,9,AL,1346,Jackson Republican,-0.334,-0.079
18,1,1823-12-22,0,36,"King, Rufus",5270,6,NY,8000,Adams-Clay Federalist,0.575,-0.302
18,1,1823-12-22,0,36,"King, William Rufus De Vane",5275,9,AL,1346,Jackson Republican,-0.373,-0.088
18,1,1823-12-22,0,36,"Knight, Nehemiah Rice",5339,6,RI,7777,Crawford Republican,0.489,0.308
18,1,1823-12-22,0,36,"Lanman, James",5465,6,CT,7777,Crawford Republican,0.683,0.466
18,1,1823-12-22,0,36,"Lloyd, Edward",5724,9,MD,7777,Crawford Republican,-0.008,-0.285
18,1,1823-12-22,0,36,"Lloyd, James",5726,6,MA,8000,Adams-Clay Federalist,0.57,-0.159
18,1,1823-12-22,0,36,"Lowrie, Walter",5817,6,PA,7777,Crawford Republican,0.552,0.35
18,1,1823-12-22,0,36,"Macon, Nathaniel",5895,6,NC,7777,Crawford Republican,-0.33,-0.944
18,1,1823-12-22,0,36,"Mcilvaine, Joseph",6274,6,NJ,8888,Adams-Clay Republican,0.312,0.655
18,1,1823-12-22,0,36,"Mills, Elijah Hunt",6528,6,MA,8000,Adams-Clay Federalist,0.624,-0.253
18,1,1823-12-22,0,36,"Noble, James",6941,9,IN,7777,Crawford Republican,0.26,0.629
18,1,1823-12-22,0,36,"Palmer, William Adams",7182,6,VT,8888,Adams-Clay Republican,0.492,0.261
18,1,1823-12-22,0,36,"Parrott, John Fabyan",7216,6,NH,8888,Adams-Clay Republican,0.216,0.009
18,1,1823-12-22,0,36,"Ruggles, Benjamin",8107,6,OH,7777,Crawford Republican,0.388,0.73
18,1,1823-12-22,0,36,"Seymour, Horatio",8385,6,VT,8888,Adams-Clay Republican,0.635,0.686
18,1,1823-12-22,0,36,"Smith, Samuel",8678,6,MD,7777,Crawford Republican,0.032,0.169
18,1,1823-12-22,0,36,"Talbot, Isham",9159,6,KY,8888,Adams-Clay Republican,0.131,0.616
18,1,1823-12-22,0,36,"Taylor, John",9215,9,VA,7777,Crawford Republican,-0.767,-0.6
18,1,1823-12-22,0,36,"Taylor, Waller",9233,6,IN,8888,Adams-Clay Republican,-0.014,0.369
18,1,1823-12-22,0,36,"Thomas, Jesse Burgess",9297,6,IL,7777,Crawford Republican,0.231,0.591
18,1,1823-12-22,0,36,"Van Buren, Martin",9595,6,NY,7777,Crawford Republican,0.145,-0.047
18,1,1823-12-22,0,36,"Van Dyke, Nicholas",9613,9,DE,8000,Adams-Clay Federalist,0.401,-0.237
18,1,1823-12-22,0,36,"Ware, Nicholas",9827,9,GA,7777,Crawford Republican,-0.064,-0.643
18,1,1823-12-22,0,36,"Williams, Thomas Hill",10182,6,MS,1346,Jackson Republican,-0.187,-0.253
18,2,1823-12-22,0,36,"Barbour, James",420,6,VA,7777,Crawford Republican,-0.23,-0.281
18,2,1823-12-22,0,36,"Barton, David",495,6,MO,8888,Adams-Clay Republican,0.323,0.38
18,2,1823-12-22,0,36,"Bell, Samuel",611,6,NH,8888,Adams-Clay Republican,0.614,0.046
18,2,1823-12-22,0,36,"Benton, Thomas Hart",658,6,MO,1346,Jackson Republican,-0.294,-0.285
18,2,1823-12-22,0,36,"Branch, John",972,6,NC,7777,Crawford Republican,-0.224,-0.408
18,2,1823-12-22,0,36,"Brown, Ethan Allen",1107,6,OH,8888,Adams-Clay Republican,0.259,0.623
18,2,1823-12-22,0,36,"Chandler, John",1635,6,ME,7777,Crawford Republican,0.194,-0.18
18,2,1823-12-22,0,36,"De Wolf, James",2549,6,RI,7777,Crawford Republican,0.919,0.377
18,2,1823-12-22,0,36,"Dickerson, Mahlon",2561,6,NJ,7777,Crawford Republican,0.12,0.059
18,2,1823-12-22,0,36,"Eaton, John Henry",2828,6,TN,1346,Jackson Republican,-0.428,0.507
18,2,1823-12-22,0,36,"Edwards, Henry Waggaman",2865,6,CT,1346,Jackson Republican,0.571,0.294
