congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
68,1,1923-12-10,80,0,"Adams, Alva Blanchard",22,2,CO,100,Democrat,-0.064,0.228
68,1,1923-12-10,80,0,"Ashurst, Henry Fountain",273,2,AZ,100,Democrat,-0.231,0.211
68,1,1923-12-10,80,0,"Ball, Lewis Heisler",395,1,DE,200,Republican,0.59,-0.332
68,1,1923-12-10,80,0,"Bayard, Thomas Francis, Jr.",529,2,DE,100,Democrat,-0.259,-0.966
68,1,1923-12-10,80,0,"Borah, William Edgar",858,1,ID,200,Republican,0.191,0.704
68,1,1923-12-10,80,0,"Brandegee, Frank Bosworth",978,1,CT,200,Republican,0.778,-0.628
68,1,1923-12-10,80,0,"Brookhart, Smith Wildman",1070,8,IA,200,Republican,0.131,0.991
68,1,1923-12-10,80,0,"Broussard, Edwin Sidney",1091,2,LA,100,Democrat,-0.034,-0.413
68,1,1923-12-10,80,0,"Bruce, William Cabell",1157,2,MD,100,Democrat,-0.045,-0.677
68,1,1923-12-10,80,0,"Bursum, Holm Olaf",1312,1,NM,200,Republican,0.592,0.346
68,1,1923-12-10,80,0,"Cameron, Ralph Henry",1436,1,AZ,200,Republican,0.514,0.224
68,1,1923-12-10,80,0,"Capper, Arthur",1494,1,KS,200,Republican,0.262,0.55
68,1,1923-12-10,80,0,"Caraway, Thaddeus Horatius",1498,2,AR,100,Democrat,-0.425,0.055
68,1,1923-12-10,80,0,"Colt, Lebaron Bradford",1957,1,RI,200,Republican,0.426,-0.486
68,1,1923-12-10,80,0,"Copeland, Royal Samuel",2062,2,NY,100,Democrat,-0.028,0.029
68,1,1923-12-10,80,0,"Couzens, James",2095,1,MI,200,Republican,0.157,0.354
68,1,1923-12-10,80,0,"Cummins, Albert Baird",2252,9,IA,200,Republican,0.248,0.55
68,1,1923-12-10,80,0,"Curtis, Charles",2269,1,KS,200,Republican,0.433,0.248
68,1,1923-12-10,80,0,"Dale, Porter Hinman",2302,1,VT,200,Republican,0.431,0.048
68,1,1923-12-10,80,0,"Dial, Nathaniel Barksdale",2552,2,SC,100,Democrat,-0.455,-0.891
68,1,1923-12-10,80,0,"Dill, Clarence Cleveland",2595,2,WA,100,Democrat,-0.022,0.635
68,1,1923-12-10,80,0,"Edge, Walter Evans",2844,9,NJ,200,Republican,0.445,-0.691
68,1,1923-12-10,80,0,"Edwards, Edward Irving",2863,9,NJ,100,Democrat,-0.202,-0.979
68,1,1923-12-10,80,0,"Elkins, Davis",2898,1,WV,200,Republican,0.535,-0.135
68,1,1923-12-10,80,0,"Ernst, Richard Pretlow",2983,9,KY,200,Republican,0.539,-0.114
68,1,1923-12-10,80,0,"Fernald, Bert Manfred",3113,1,ME,200,Republican,0.577,-0.063
68,1,1923-12-10,80,0,"Ferris, Woodbridge Nathan",3120,2,MI,100,Democrat,-0.095,0.173
68,1,1923-12-10,80,0,"Fess, Simeon Davison",3124,1,OH,200,Republican,0.481,-0.029
68,1,1923-12-10,80,0,"Fletcher, Duncan Upshaw",3216,2,FL,100,Democrat,-0.365,-0.37
68,1,1923-12-10,80,0,"Frazier, Lynn Joseph",3347,8,ND,200,Republican,0.221,0.975
68,1,1923-12-10,80,0,"George, Walter Franklin",3536,2,GA,100,Democrat,-0.064,0.363
68,1,1923-12-10,80,0,"Gerry, Peter Goelet",3544,2,RI,100,Democrat,-0.187,-0.479
68,1,1923-12-10,80,0,"Glass, Carter",3625,2,VA,100,Democrat,-0.304,-0.349
68,1,1923-12-10,80,0,"Gooding, Frank Robert",3676,1,ID,200,Republican,0.411,0.459
68,1,1923-12-10,80,0,"Greene, Frank Lester",3789,1,VT,200,Republican,0.543,-0.334
68,1,1923-12-10,80,0,"Hale, Frederick",3919,1,ME,200,Republican,0.403,-0.41
