congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
84,1,1955-01-14,95,0,"Aiken, George David",52,1,VT,200,Republican,0.062,-0.435
84,1,1955-01-14,95,0,"Allott, Gordon Llewellyn",142,1,CO,200,Republican,0.308,-0.445
84,1,1955-01-14,95,0,"Anderson, Clinton Presba",165,1,NM,100,Democrat,-0.201,0.213
84,1,1955-01-14,95,0,"Barkley, Alben William",437,1,KY,100,Democrat,-0.375,0.087
84,1,1955-01-14,95,0,"Barrett, Frank Aloysius",464,1,WY,200,Republican,0.332,-0.046
84,1,1955-01-14,95,0,"Beall, James Glenn",546,1,MD,200,Republican,0.176,-0.55
84,1,1955-01-14,95,0,"Bender, George Harrison",621,1,OH,200,Republican,0.179,-0.893
84,1,1955-01-14,95,0,"Bennett, Wallace Foster",645,1,UT,200,Republican,0.447,-0.334
84,1,1955-01-14,95,0,"Bible, Alan Harvey",688,1,NV,100,Democrat,-0.2,0.528
84,1,1955-01-14,95,0,"Bricker, John William",1024,1,OH,200,Republican,0.528,-0.247
84,1,1955-01-14,95,0,"Bridges, Henry Styles (Styles)",1027,1,NH,200,Republican,0.372,-0.475
84,1,1955-01-14,95,0,"Bush, Prescott Sheldon",1329,1,CT,200,Republican,0.28,-0.945
84,1,1955-01-14,95,0,"Butler, John Marshall",1341,1,MD,200,Republican,0.368,-0.212
84,1,1955-01-14,95,0,"Byrd, Harry Flood",1365,1,VA,100,Democrat,0.188,0.564
84,1,1955-01-14,95,0,"Capehart, Homer Earl",1489,1,IN,200,Republican,0.37,-0.222
84,1,1955-01-14,95,0,"Carlson, Frank",1510,1,KS,200,Republican,0.232,-0.243
84,1,1955-01-14,95,0,"Case, Clifford Philip",1569,1,NJ,200,Republican,-0.108,-0.994
84,1,1955-01-14,95,0,"Case, Francis Higbee",1570,3,SD,200,Republican,0.239,0.032
84,1,1955-01-14,95,0,"Chavez, Dennis",1678,3,NM,100,Democrat,-0.206,0.391
84,1,1955-01-14,95,0,"Clements, Earle C.",1831,1,KY,100,Democrat,-0.233,0.428
84,1,1955-01-14,95,0,"Cotton, Norris H.",2087,1,NH,200,Republican,0.395,-0.318
84,1,1955-01-14,95,0,"Curtis, Carl Thomas",2267,1,NE,200,Republican,0.492,-0.004
84,1,1955-01-14,95,0,"Daniel, Marion Price",2326,1,TX,100,Democrat,0.024,0.762
84,1,1955-01-14,95,0,"Dirksen, Everett Mckinley",2609,1,IL,200,Republican,0.317,-0.498
84,1,1955-01-14,95,0,"Douglas, Paul Howard",2691,1,IL,100,Democrat,-0.58,-0.815
84,1,1955-01-14,95,0,"Duff, James Henderson",2745,1,PA,200,Republican,0.091,-0.666
84,1,1955-01-14,95,0,"Dworshak, Henry Clarence",2803,1,ID,200,Republican,0.402,0.056
84,1,1955-01-14,95,0,"Eastland, James Oliver",2822,1,MS,100,Democrat,0.024,1
84,1,1955-01-14,95,0,"Ellender, Allen Joseph",2901,1,LA,100,Democrat,-0.089,0.996
84,1,1955-01-14,95,0,"Ervin, Samuel James, Jr.",2987,3,NC,100,Democrat,-0.041,0.999
84,1,1955-01-14,95,0,"Flanders, Ralph Edward",3206,1,VT,200,Republican,0.175,-0.789
84,1,1955-01-14,95,0,"Frear, Joseph Allen, Jr.",3349,1,DE,100,Democrat,0.034,0.477
84,1,1955-01-14,95,0,"Fulbright, James William",3388,1,AR,100,Democrat,-0.38,0.925
84,1,1955-01-14,95,0,"George, Walter Franklin",3536,1,GA,100,Democrat,-0.064,0.363
84,1,1955-01-14,95,0,"Goldwater, Barry Morris",3658,1,AZ,200,Republican,0.641,-0.289
84,1,1955-01-14,95,0,"Gore, Albert Arnold",3704,1,TN,100,Democrat,-0.328,0.551
84,1,1955-01-14,95,0,"Green, Theodore Francis",3783,3,RI,100,Democrat,-0.342,-0.025
84,1,1955-01-14,95,0,"Hayden, Carl Trumbull",4227,1,AZ,100,Democrat,-0.221,0.334
84,1,1955-01-14,95,0,"Hennings, Thomas Carey, Jr.",4328,1,MO,100,Democrat,-0.356,-0.038
84,1,1955-01-14,95,0,"Hickenlooper, Bourke Blakemore",4382,1,IA,200,Republican,0.372,-0.316
84,1,1955-01-14,95,0,"Hill, Joseph Lister",4418,1,AL,100,Democrat,-0.265,0.851
84,1,1955-01-14,95,0,"Holland, Spessard Lindsey",4520,1,FL,100,Democrat,0.009,0.599
84,1,1955-01-14,95,0,"Hruska, Roman Lee",4660,1,NE,200,Republican,0.446,-0.063
84,1,1955-01-14,95,0,"Humphrey, Hubert Horatio, Jr.",4728,1,MN,100,Democrat,-0.397,-0.093
84,1,1955-01-14,95,0,"Ives, Irving Mcneil",4834,1,NY,200,Republican,0.043,-0.999
84,1,1955-01-14,95,0,"Jackson, Henry Martin (Scoop)",4851,1,WA,100,Democrat,-0.296,0.065
