congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
59,1,1906-01-18,58,9,"Aldrich, Nelson Wilmarth",71,9,RI,200,Republican,0.401,-0.811
59,1,1906-01-18,58,9,"Alger, Russell Alexander",94,1,MI,200,Republican,0.332,-0.886
59,1,1906-01-18,58,9,"Allee, James Frank",96,1,DE,200,Republican,0.563,-0.617
59,1,1906-01-18,58,9,"Allison, William Boyd",141,1,IA,200,Republican,0.314,-0.187
59,1,1906-01-18,58,9,"Ankeny, Levi",208,9,WA,200,Republican,0.433,-0.337
59,1,1906-01-18,58,9,"Bacon, Augustus Octavius",322,1,GA,100,Democrat,-0.39,-0.187
59,1,1906-01-18,58,9,"Bailey, Joseph Weldon",347,9,TX,100,Democrat,-0.63,-0.098
59,1,1906-01-18,58,9,"Berry, James Henderson",674,9,AR,100,Democrat,-0.65,0.358
59,1,1906-01-18,58,9,"Beveridge, Albert Jeremiah",683,1,IN,200,Republican,0.385,0.923
59,1,1906-01-18,58,9,"Blackburn, Joseph Clay Stiles",751,6,KY,100,Democrat,-0.53,-0.04
59,1,1906-01-18,58,9,"Brandegee, Frank Bosworth",978,1,CT,200,Republican,0.778,-0.628
59,1,1906-01-18,58,9,"Bulkeley, Morgan Gardner",1223,1,CT,200,Republican,0.336,-0.942
59,1,1906-01-18,58,9,"Burkett, Elmer Jacob",1275,1,NE,200,Republican,0.393,0.877
59,1,1906-01-18,58,9,"Burnham, Henry Eben",1295,1,NH,200,Republican,0.541,-0.536
59,1,1906-01-18,58,9,"Burrows, Julius Caesar",1310,1,MI,200,Republican,0.448,-0.129
59,1,1906-01-18,58,9,"Burton, Joseph Ralph",1320,9,KS,200,Republican,0.572,0.508
59,1,1906-01-18,58,9,"Carmack, Edward Ward",1513,9,TN,100,Democrat,-0.475,-0.161
59,1,1906-01-18,58,9,"Carter, Thomas Henry",1550,1,MT,200,Republican,0.376,0.101
59,1,1906-01-18,58,9,"Clapp, Moses Edwin",1746,2,MN,200,Republican,0.232,0.882
59,1,1906-01-18,58,9,"Clark, Clarence Don",1757,1,WY,200,Republican,0.427,0.016
59,1,1906-01-18,58,9,"Clark, William Andrews",1785,1,MT,100,Democrat,-0.235,-0.62
59,1,1906-01-18,58,9,"Clarke, James Paul",1793,2,AR,100,Democrat,-0.132,-0.021
59,1,1906-01-18,58,9,"Clay, Alexander Stephens",1806,1,GA,100,Democrat,-0.395,0.107
59,1,1906-01-18,58,9,"Crane, Winthrop Murray",2147,1,MA,200,Republican,0.669,-0.654
59,1,1906-01-18,58,9,"Culberson, Charles Allen",2229,5,TX,100,Democrat,-0.453,-0.249
59,1,1906-01-18,58,9,"Cullom, Shelby Moore",2239,9,IL,200,Republican,0.286,-0.442
59,1,1906-01-18,58,9,"Daniel, John Warwick",2325,1,VA,100,Democrat,-0.457,0.018
59,1,1906-01-18,58,9,"Depew, Chauncey Mitchell",2520,9,NY,200,Republican,0.639,-0.363
59,1,1906-01-18,58,9,"Dick, Charles William Frederick",2555,9,OH,200,Republican,0.486,-0.373
59,1,1906-01-18,58,9,"Dillingham, William Paul",2597,1,VT,200,Republican,0.602,-0.499
59,1,1906-01-18,58,9,"Dolliver, Jonathan Prentiss",2648,1,IA,200,Republican,0.312,0.547
59,1,1906-01-18,58,9,"Dryden, John Fairfield",2736,9,NJ,200,Republican,0.488,-0.458
59,1,1906-01-18,58,9,"Dubois, Fred Thomas",2738,1,ID,100,Democrat,0.079,0.63
59,1,1906-01-18,58,9,"Elkins, Stephen Benton",2899,9,WV,200,Republican,0.402,-0.3
