congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
69,1,1925-03-05,39,53,"Ashurst, Henry Fountain",273,1,AZ,100,Democrat,-0.231,0.211
69,1,1925-03-05,39,53,"Bayard, Thomas Francis, Jr.",529,1,DE,100,Democrat,-0.259,-0.966
69,1,1925-03-05,39,53,"Bingham, Hiram",716,6,CT,200,Republican,0.313,-0.95
69,1,1925-03-05,39,53,"Blease, Coleman Livingston",791,1,SC,100,Democrat,-0.934,-0.357
69,1,1925-03-05,39,53,"Borah, William Edgar",858,6,ID,200,Republican,0.191,0.704
69,1,1925-03-05,39,53,"Bratton, Sam Gilbert",982,1,NM,100,Democrat,-0.168,0.261
69,1,1925-03-05,39,53,"Brookhart, Smith Wildman",1070,6,IA,200,Republican,0.131,0.991
69,1,1925-03-05,39,53,"Broussard, Edwin Sidney",1091,1,LA,100,Democrat,-0.034,-0.413
69,1,1925-03-05,39,53,"Bruce, William Cabell",1157,1,MD,100,Democrat,-0.045,-0.677
69,1,1925-03-05,39,53,"Butler, William Morgan",1356,6,MA,200,Republican,0.43,-0.425
69,1,1925-03-05,39,53,"Cameron, Ralph Henry",1436,6,AZ,200,Republican,0.514,0.224
69,1,1925-03-05,39,53,"Capper, Arthur",1494,6,KS,200,Republican,0.262,0.55
69,1,1925-03-05,39,53,"Caraway, Thaddeus Horatius",1498,1,AR,100,Democrat,-0.425,0.055
69,1,1925-03-05,39,53,"Copeland, Royal Samuel",2062,2,NY,100,Democrat,-0.028,0.029
69,1,1925-03-05,39,53,"Couzens, James",2095,6,MI,200,Republican,0.157,0.354
69,1,1925-03-05,39,53,"Cummins, Albert Baird",2252,6,IA,200,Republican,0.248,0.55
69,1,1925-03-05,39,53,"Curtis, Charles",2269,6,KS,200,Republican,0.433,0.248
69,1,1925-03-05,39,53,"Dale, Porter Hinman",2302,6,VT,200,Republican,0.431,0.048
