x1,x2,y1,y2,party,name
11.9,12.1,-0.1,16.1,Democrat,"Durbin, Richard Joseph"
8.9,13.1,15.9,17.1,Democrat,"Carper, Thomas Richard"
10.9,12.1,12.9,16.1,Democrat,"Bingaman, Jesse Francis, Jr. (Jeff)"
0.9,7.1,13.9,17.1,Republican,"Bond, Christopher Samuel (Kit)"
10.9,12.1,12.9,16.1,Democrat,"Cantwell, Maria E."
0.9,7.1,13.9,17.1,Republican,"Roberts, Charles Patrick (Pat)"
11.9,13.1,3.9,17.1,Democrat,"Johnson, Timothy Peter (Tim)"
11.9,12.1,-0.1,16.1,Democrat,"Lautenberg, Frank Raleigh"
0.9,7.1,13.9,17.1,Republican,"Thune, John"
0.9,7.1,13.9,17.1,Republican,"Mcconnell, Addison Mitchell (Mitch)"
0.9,5.1,11.9,17.1,Republican,"Vitter, David"
0.9,7.1,13.9,17.1,Republican,"Domenici, Pete Vichi"
11.9,12.1,-0.1,16.1,Democrat,"Salazar, Kenneth Lee"
0.9,7.1,13.9,17.1,Republican,"Allen, George"
11.9,12.1,-0.1,16.1,Democrat,"Kennedy, Edward Moore (Ted)"
10.9,13.1,5.9,17.1,Democrat,"Pryor, Mark"
10.9,12.1,12.9,16.1,Democrat,"Biden, Joseph Robinette, Jr."
1.9,6.1,4.9,15.1,Republican,"Graham, Lindsey O."
11.9,12.1,-0.1,16.1,Democrat,"Inouye, Daniel Ken"
11.9,12.1,-0.1,16.1,Democrat,"Feinstein, Dianne"
11.9,12.1,-0.1,16.1,Democrat,"Sarbanes, Paul Spyros"
0.9,5.1,11.9,17.1,Republican,"Enzi, Michael B."
1.9,6.1,4.9,15.1,Republican,"Martinez, Melquiades R. (Mel)"
11.9,12.1,-0.1,16.1,Democrat,"Harkin, Thomas Richard (Tom)"
1.9,6.1,4.9,15.1,Republican,"Brownback, Sam Dale"
1.9,6.1,4.9,15.1,Republican,"Mccain, John Sidney, Iii"
0.9,7.1,13.9,17.1,Republican,"Stevens, Theodore Fulton (Ted)"
1.9,4.1,8.9,15.1,Republican,"Kyl, Jon Llewellyn"
0.9,8.1,7.9,17.1,Republican,"Dewine, Michael"
11.9,12.1,-0.1,16.1,Democrat,"Reed, John F. (Jack)"
10.9,13.1,5.9,17.1,Democrat,"Lincoln, Blanche Lambert"
0.9,7.1,13.9,17.1,Republican,"Hutchison, Kathryn Ann Bailey (Kay)"
11.9,12.1,-0.1,16.1,Democrat,"Dodd, Christopher John"
0.9,5.1,11.9,17.1,Republican,"Chambliss, Saxby"
0.9,7.1,13.9,17.1,Republican,"Burns, Conrad"
0.9,7.1,13.9,17.1,Republican,"Bennett, Robert"
0.9,8.1,7.9,17.1,Republican,"Lugar, Richard Green"
10.9,12.1,12.9,16.1,Democrat,"Kohl, Herbert H."
11.9,12.1,-0.1,16.1,Democrat,"Dorgan, Byron Leslie"
5.9,10.1,9.9,17.1,Republican,"Snowe, Olympia Jean"
0.9,5.1,11.9,17.1,Republican,"Isakson, Johnny"
0.9,8.1,7.9,17.1,Republican,"Coleman, Norm"
11.9,13.1,3.9,17.1,Democrat,"Nelson, Clarence William (Bill)"
0.9,7.1,13.9,17.1,Republican,"Santorum, Richard John (Rick)"
11.9,13.1,3.9,17.1,Democrat,"Baucus, Max Sieben"
0.9,7.1,13.9,17.1,Republican,"Lott, Chester Trent"
0.9,2.1,10.9,17.1,Republican,"Inhofe, James Mountain"
11.9,12.1,-0.1,16.1,Democrat,"Leahy, Patrick Joseph"
11.9,12.1,-0.1,16.1,Democrat,"Clinton, Hillary Rodham"
2.9,8.1,6.9,17.1,Republican,"Collins, Susan Margaret"
0.9,7.1,13.9,17.1,Republican,"Alexander, Lamar"
2.9,8.1,14.9,17.1,Republican,"Specter, Arlen"
11.9,12.1,-0.1,16.1,Democrat,"Conrad, Kent"
1.9,4.1,8.9,15.1,Republican,"Demint, James W."
0.9,8.1,7.9,17.1,Republican,"Smith, Gordon Harold"
0.9,7.1,13.9,17.1,Republican,"Grassley, Charles Ernest"
1.9,4.1,8.9,15.1,Republican,"Gregg, Judd Alan"
11.9,12.1,-0.1,16.1,Democrat,"Byrd, Robert Carlyle"
0.9,7.1,13.9,17.1,Republican,"Talent, James Matthes"
1.9,4.1,8.9,15.1,Republican,"Ensign, John Eric"
11.9,12.1,-0.1,16.1,Democrat,"Levin, Carl"
11.9,12.1,-0.1,16.1,Democrat,"Boxer, Barbara"
10.9,12.1,12.9,16.1,Democrat,"Reid, Harry"
7.9,11.1,2.9,16.1,Republican,"Chafee, Lincoln Davenport"
0.9,5.1,11.9,17.1,Republican,"Cornyn, John"
1.9,2.1,1.9,14.1,Republican,"Coburn, Thomas Allen"
0.9,5.1,11.9,17.1,Republican,"Sessions, Jefferson Beauregard Iii (Jeff)"
11.9,12.1,-0.1,16.1,Democrat,"Feingold, Russell Dana"
1.9,4.1,0.9,14.1,Republican,"Sununu, John E."
0.9,5.1,11.9,17.1,Republican,"Burr, Richard M."
10.9,12.1,12.9,16.1,Democrat,"Lieberman, Joseph I."
11.9,12.1,-0.1,16.1,Democrat,"Dayton, Mark"
11.9,12.1,-0.1,16.1,Democrat,"Murray, Patty"
11.9,12.1,-0.1,16.1,Democrat,"Kerry, John Forbes"
0.9,5.1,11.9,17.1,Republican,"Crapo, Michael Dean"
11.9,12.1,-0.1,16.1,Democrat,"Obama, Barack"
0.9,7.1,13.9,17.1,Republican,"Cochran, William Thad"
0.9,7.1,13.9,17.1,Republican,"Hatch, Orrin Grant"
11.9,12.1,-0.1,16.1,Democrat,"Schumer, Charles Ellis (Chuck)"
0.9,8.1,7.9,17.1,Republican,"Voinovich, George Victor"
1.9,4.1,8.9,15.1,Republican,"Allard, A. Wayne"
0.9,7.1,13.9,17.1,Republican,"Murkowski, Lisa"
0.9,13.1,16.9,17.1,Democrat,"Nelson, Earl Benjamin (Ben)"
0.9,7.1,13.9,17.1,Republican,"Frist, William H."
11.9,12.1,-0.1,16.1,Democrat,"Landrieu, Mary L."
0.9,7.1,13.9,17.1,Republican,"Dole, Elizabeth Hanford"
11.9,12.1,-0.1,16.1,Democrat,"Rockefeller, John Davison Iv (Jay)"
11.9,12.1,-0.1,16.1,Democrat,"Bayh, Evan"
11.9,12.1,-0.1,16.1,Democrat,"Wyden, Ronald Lee"
0.9,5.1,11.9,17.1,Republican,"Bunning, James Paul David"
