x1,x2,y1,y2,party,name
4.9,6.1,2.9,9.1,Republican,"Smith, Robert C."
0.9,1.1,3.9,8.1,Democrat,"Edwards, John"
0.9,1.1,3.9,8.1,Democrat,"Akaka, Daniel Kahikina"
0.9,1.1,3.9,8.1,Democrat,"Feinstein, Dianne"
0.9,1.1,3.9,8.1,Democrat,"Hollings, Ernest Frederick"
1.9,6.1,1.9,9.1,Republican,"Lott, Chester Trent"
1.9,6.1,1.9,9.1,Republican,"Thurmond, James Strom"
0.9,1.1,3.9,8.1,Democrat,"Bryan, Richard H"
0.9,1.1,3.9,8.1,Democrat,"Bayh, Evan"
0.9,1.1,3.9,8.1,Democrat,"Torricelli, Robert Guy"
1.9,6.1,1.9,9.1,Republican,"Dewine, Michael"
1.9,6.1,1.9,9.1,Republican,"Thompson, Fred Dalton"
0.9,1.1,3.9,8.1,Democrat,"Reid, Harry"
4.9,6.1,2.9,9.1,Republican,"Nickles, Donald Lee"
1.9,6.1,1.9,9.1,Republican,"Mack, Connie, Iii"
1.9,6.1,1.9,9.1,Republican,"Stevens, Theodore Fulton (Ted)"
0.9,1.1,3.9,8.1,Democrat,"Kohl, Herbert H."
0.9,1.1,7.9,8.1,Democrat,"Breaux, John Berlinger"
5.9,6.1,0.9,9.1,Republican,"Voinovich, George Victor"
1.9,5.1,4.9,9.1,Republican,"Snowe, Olympia Jean"
0.9,1.1,3.9,8.1,Democrat,"Kerrey, J. Robert"
1.9,6.1,1.9,9.1,Republican,"Hutchinson, Timothy"
0.9,1.1,3.9,8.1,Democrat,"Biden, Joseph Robinette, Jr."
1.9,6.1,1.9,9.1,Republican,"Coverdell, Paul"
1.9,6.1,1.9,9.1,Republican,"Cochran, William Thad"
0.9,1.1,3.9,8.1,Democrat,"Lieberman, Joseph I."
0.9,1.1,3.9,8.1,Democrat,"Levin, Carl"
4.9,6.1,2.9,9.1,Republican,"Allard, A. Wayne"
0.9,1.1,3.9,8.1,Democrat,"Kerry, John Forbes"
0.9,1.1,3.9,8.1,Democrat,"Rockefeller, John Davison Iv (Jay)"
0.9,1.1,3.9,8.1,Democrat,"Robb, Charles Spittal"
0.9,1.1,3.9,8.1,Democrat,"Leahy, Patrick Joseph"
1.9,6.1,1.9,9.1,Republican,"Smith, Gordon Harold"
4.9,6.1,2.9,9.1,Republican,"Gramm, William Philip (Phil)"
1.9,6.1,1.9,9.1,Republican,"Crapo, Michael Dean"
0.9,1.1,3.9,8.1,Democrat,"Bingaman, Jesse Francis, Jr. (Jeff)"
0.9,1.1,3.9,8.1,Democrat,"Kennedy, Edward Moore (Ted)"
1.9,6.1,1.9,9.1,Republican,"Gregg, Judd Alan"
0.9,1.1,3.9,8.1,Democrat,"Mikulski, Barbara Ann"
1.9,6.1,1.9,9.1,Republican,"Frist, William H."
