x1,x2,y1,y2,party,name
9.9,13.1,10.9,14.1,Democrat,"Leahy, Patrick Joseph"
11.9,13.1,5.9,11.1,Democrat,"Robb, Charles Spittal"
0.9,6.1,12.9,20.1,Republican,"Enzi, Michael B."
11.9,13.1,5.9,11.1,Democrat,"Kerry, John Forbes"
11.9,13.1,5.9,11.1,Democrat,"Ford, Wendell Hampton"
7.9,10.1,13.9,20.1,Republican,"Jeffords, James Merrill"
11.9,13.1,4.9,11.1,Democrat,"Byrd, Robert Carlyle"
0.9,9.1,19.9,20.1,Republican,"D'amato, Alfonse Marcello"
0.9,7.1,-0.1,20.1,Republican,"Hagel, Charles Timothy (Chuck)"
0.9,8.1,0.9,20.1,Republican,"Dewine, Michael"
0.9,7.1,-0.1,20.1,Republican,"Mcconnell, Addison Mitchell (Mitch)"
0.9,6.1,12.9,20.1,Republican,"Brownback, Sam Dale"
11.9,13.1,5.9,11.1,Democrat,"Durbin, Richard Joseph"
11.9,13.1,5.9,11.1,Democrat,"Hollings, Ernest Frederick"
6.9,9.1,6.9,20.1,Republican,"Chafee, John Hubbard"
1.9,2.1,9.9,19.1,Republican,"Ashcroft, John David"
0.9,7.1,-0.1,20.1,Republican,"Hutchison, Kathryn Ann Bailey (Kay)"
0.9,9.1,16.9,20.1,Republican,"Warner, John William"
11.9,12.1,8.9,11.1,Democrat,"Wellstone, Paul David"
0.9,7.1,-0.1,20.1,Republican,"Thompson, Fred Dalton"
0.9,8.1,0.9,20.1,Republican,"Roth, William Victor, Jr."
0.9,8.1,0.9,20.1,Republican,"Cochran, William Thad"
11.9,13.1,5.9,11.1,Democrat,"Kerrey, J. Robert"
11.9,13.1,5.9,11.1,Democrat,"Kennedy, Edward Moore (Ted)"
9.9,13.1,10.9,14.1,Democrat,"Baucus, Max Sieben"
11.9,13.1,5.9,11.1,Democrat,"Conrad, Kent"
9.9,13.1,10.9,14.1,Democrat,"Graham, Daniel Robert (Bob)"
4.9,9.1,17.9,20.1,Republican,"Snowe, Olympia Jean"
0.9,7.1,-0.1,20.1,Republican,"Roberts, Charles Patrick (Pat)"
0.9,7.1,-0.1,20.1,Republican,"Murkowski, Frank Hughes"
11.9,13.1,5.9,11.1,Democrat,"Dodd, Christopher John"
0.9,7.1,-0.1,20.1,Republican,"Gorton, Thomas Slade, Iii (Slade)"
1.9,5.1,14.9,19.1,Republican,"Sessions, Jefferson Beauregard Iii (Jeff)"
11.9,13.1,5.9,11.1,Democrat,"Wyden, Ronald Lee"
11.9,13.1,5.9,11.1,Democrat,"Inouye, Daniel Ken"
0.9,7.1,-0.1,20.1,Republican,"Coverdell, Paul"
0.9,7.1,-0.1,20.1,Republican,"Coats, Daniel Ray"
11.9,13.1,5.9,11.1,Democrat,"Glenn, John Herschel, Jr."
8.9,11.1,15.9,20.1,Republican,"Specter, Arlen"
0.9,9.1,16.9,20.1,Republican,"Campbell, Ben Nighthorse"
11.9,13.1,4.9,11.1,Democrat,"Kohl, Herbert H."
0.9,6.1,12.9,20.1,Republican,"Nickles, Donald Lee"
0.9,7.1,-0.1,20.1,Republican,"Lott, Chester Trent"
0.9,7.1,-0.1,20.1,Republican,"Mack, Connie, Iii"
11.9,13.1,5.9,11.1,Democrat,"Lautenberg, Frank Raleigh"
11.9,13.1,5.9,11.1,Democrat,"Moynihan, Daniel Patrick"
11.9,13.1,5.9,11.1,Democrat,"Feinstein, Dianne"
0.9,9.1,16.9,20.1,Republican,"Domenici, Pete Vichi"
11.9,13.1,5.9,11.1,Democrat,"Levin, Carl"
0.9,7.1,-0.1,20.1,Republican,"Gregg, Judd Alan"
0.9,7.1,-0.1,20.1,Republican,"Burns, Conrad"
0.9,7.1,-0.1,20.1,Republican,"Thomas, Craig Lyle"
0.9,7.1,-0.1,20.1,Republican,"Santorum, Richard John (Rick)"
0.9,7.1,-0.1,20.1,Republican,"Grassley, Charles Ernest"
11.9,13.1,5.9,11.1,Democrat,"Moseley Braun, Carol"
11.9,13.1,5.9,11.1,Democrat,"Reid, Harry"
0.9,7.1,-0.1,20.1,Republican,"Craig, Larry Edwin"
0.9,7.1,-0.1,20.1,Republican,"Mccain, John Sidney, Iii"
0.9,8.1,0.9,20.1,Republican,"Lugar, Richard Green"
11.9,13.1,5.9,11.1,Democrat,"Bryan, Richard H"
11.9,13.1,5.9,11.1,Democrat,"Johnson, Timothy Peter (Tim)"
11.9,13.1,5.9,11.1,Democrat,"Bingaman, Jesse Francis, Jr. (Jeff)"
1.9,4.1,18.9,19.1,Republican,"Kyl, Jon Llewellyn"
0.9,4.1,7.9,20.1,Republican,"Gramm, William Philip (Phil)"
11.9,13.1,5.9,11.1,Democrat,"Mikulski, Barbara Ann"
11.9,13.1,5.9,11.1,Democrat,"Cleland, Joseph Maxwell (Max)"
0.9,9.1,16.9,20.1,Republican,"Smith, Gordon Harold"
12.9,13.1,1.9,11.1,Democrat,"Breaux, John Berlinger"
11.9,13.1,5.9,11.1,Democrat,"Reed, John F. (Jack)"
11.9,13.1,5.9,11.1,Democrat,"Rockefeller, John Davison Iv (Jay)"
11.9,13.1,5.9,11.1,Democrat,"Murray, Patty"
11.9,13.1,5.9,11.1,Democrat,"Daschle, Thomas Andrew"
0.9,8.1,0.9,20.1,Republican,"Frist, William H."
0.9,6.1,12.9,20.1,Republican,"Hutchinson, Timothy"
11.9,13.1,5.9,11.1,Democrat,"Sarbanes, Paul Spyros"
0.9,4.1,7.9,20.1,Republican,"Grams, Rod"
11.9,13.1,5.9,11.1,Democrat,"Harkin, Thomas Richard (Tom)"
11.9,13.1,5.9,11.1,Democrat,"Landrieu, Mary L."
0.9,7.1,-0.1,20.1,Republican,"Thurmond, James Strom"
2.9,9.1,11.9,20.1,Republican,"Collins, Susan Margaret"
11.9,13.1,5.9,11.1,Democrat,"Akaka, Daniel Kahikina"
1.9,2.1,9.9,19.1,Republican,"Helms, Jesse"
0.9,8.1,0.9,20.1,Republican,"Hatch, Orrin Grant"
0.9,8.1,0.9,20.1,Republican,"Bennett, Robert"
1.9,2.1,9.9,19.1,Republican,"Inhofe, James Mountain"
0.9,6.1,12.9,20.1,Republican,"Allard, A. Wayne"
0.9,7.1,-0.1,20.1,Republican,"Abraham, Spencer"
11.9,12.1,8.9,11.1,Democrat,"Feingold, Russell Dana"
11.9,13.1,5.9,11.1,Democrat,"Torricelli, Robert Guy"
0.9,7.1,-0.1,20.1,Republican,"Kempthorne, Dirk"
11.9,13.1,5.9,11.1,Democrat,"Biden, Joseph Robinette, Jr."
0.9,9.1,16.9,20.1,Republican,"Stevens, Theodore Fulton (Ted)"
10.9,13.1,3.9,16.1,Democrat,"Lieberman, Joseph I."
11.9,13.1,5.9,11.1,Democrat,"Dorgan, Byron Leslie"
11.9,13.1,5.9,11.1,Democrat,"Boxer, Barbara"
11.9,13.1,5.9,11.1,Democrat,"Bumpers, Dale"
0.9,6.1,12.9,20.1,Republican,"Shelby, Richard C."
0.9,2.1,2.9,20.1,Republican,"Faircloth, Duncan Mclauchlin (Lauch)"
0.9,8.1,0.9,20.1,Republican,"Bond, Christopher Samuel (Kit)"
1.9,4.1,18.9,19.1,Republican,"Smith, Robert C."
